GEOID,REGION
41005020100,South West
41005020200,South West
41005020302,South West
41005020303,South West
41005020304,South West
41005020401,South West
41005020403,South West
41005020404,South West
41005020501,South West
41005020503,South West
41005020504,South West
41005020505,South West
41005020600,South West
41005020700,South West
41005020800,South East
41005020900,South East
41005021000,South East
41005021100,South East
41005021200,South West
41005021300,South West
41005021400,South East
41005021500,South East
41005021601,South East
41005021602,South East
41005021700,South West
41005021801,South East
41005021802,South East
41005021900,South East
41005022000,South East
41005022101,South East
41005022103,South East
41005022105,South East
41005022107,South East
41005022108,South East
41005022201,South East
41005022205,South East
41005022206,South East
41005022207,South East
41005022208,South East
41005022301,Rural
41005022302,Rural
41005022400,Rural
41005022500,Rural
41005022602,Rural
41005022603,Rural
41005022605,Rural
41005022606,Rural
41005022702,Rural
41005022707,Rural
41005022708,Rural
41005022710,Rural
41005022800,Rural
41005022901,Rural
41005022904,Rural
41005022905,Rural
41005022906,Rural
41005022907,Rural
41005023001,Rural
41005023002,Rural
41005023100,Rural
41005023201,Rural
41005023202,Rural
41005023300,Rural
41005023401,Rural
41005023403,Rural
41005023404,Rural
41005023500,Rural
41005023600,Rural
41005023700,Rural
41005023800,Rural
41005023901,Rural
41005023902,Rural
41005024000,Rural
41005024100,Rural
41005024200,Rural
41005024302,Rural
41005024303,Rural
41005024304,Rural
41005024400,Rural
41005980000,Rural
41051000100,South East
41051000200,South East
41051000301,South East
41051000302,South East
41051000401,South East
41051000402,South East
41051000501,South East
41051000502,South East
41051000601,South East
41051000602,South East
41051000701,South East
41051000702,South East
41051000801,South East
41051000802,South East
41051000901,South East
41051000902,South East
41051001000,South East
41051001101,North East
41051001102,North East
41051001201,North East
41051001202,North East
41051001301,North East
41051001302,North East
41051001400,North East
41051001500,North East
41051001601,North East
41051001602,North East
41051001701,North East
41051001702,North East
41051001801,North East
41051001802,North East
41051001900,North East
41051002000,North East
41051002100,North East
41051002203,North 
41051002303,North East
41051002401,North East
41051002402,North East
41051002501,North East
41051002502,North East
41051002600,North East
41051002701,North East
41051002702,North East
41051002801,North East
41051002802,North East
41051002901,North East
41051002902,North East
41051002903,North East
41051003000,North
41051003100,North
41051003200,North
41051003301,North
41051003302,North
41051003401,North
41051003402,North
41051003501,North
41051003502,North
41051003601,North
41051003602,North
41051003603,North
41051003701,North
41051003702,North
41051003801,North
41051003802,North
41051003803,North
41051003901,North
41051003902,North
41051004001,North
41051004002,North
41051004101,North
41051004102,North
41051004200,North
41051004300,North
41051004500,North West
41051004601,North West
41051004602,North West
41051004700,North West
41051004800,North West
41051004900,North West
41051005000,North West
41051005100,North West
41051005200,North West
41051005500,North West
41051005600,North West
41051005700,North West
41051005800,South West
